,eia_forecast
01/10/2015,44
01/11/2015,44
01/12/2015,45
01/01/2016,47
01/02/2016,48
01/03/2016,49
01/04/2016,51
01/05/2016,53
01/06/2016,56
01/07/2016,56
01/08/2016,55
01/09/2016,55
01/10/2016,54
01/11/2016,53
01/12/2016,53
01/01/2017,52
01/02/2017,52
01/03/2017,52
01/04/2017,52
01/05/2017,52
01/06/2017,52
01/07/2017,53
01/08/2017,53
01/09/2017,53
01/10/2017,53
01/11/2017,53
01/12/2017,53
01/01/2018,53
